Region,lon,lat,hospitalises,date
Auvergne-Rhône-Alpes,4.7763,45.5149,3167.0,2021-03-26
Bourgogne-Franche-Comté,4.9994,47.2805,1201.0,2021-03-26
Bretagne,-2.9326,48.202,702.0,2021-03-26
Centre-Val de Loire,1.675,47.7515,1045.0,2021-03-26
Corse,9.0128,42.0396,132.0,2021-03-26
Grand Est,5.80583,48.8158,2396.0,2021-03-26
Guadeloupe,-61.5326,16.2136,60.0,2021-03-26
Guyane,-53.1257,3.9338,18.0,2021-03-26
Hauts-de-France,2.763,49.8475,3325.0,2021-03-26
La Réunion,55.532,-21.1145,163.0,2021-03-26
Martinique,-61.0228,14.6355,42.0,2021-03-26
Mayotte,45.1654,-12.8245,73.0,2021-03-26
Normandie,0.1712,48.8798,1390.0,2021-03-26
Nouvelle-Aquitaine,0.1655,45.2649,1143.0,2021-03-26
Occitanie,2.1695,43.89,1546.0,2021-03-26
Pays de la Loire,-0.3299,47.7632,851.0,2021-03-26
Provence-Alpes-Côte d'Azur,6.0679,43.9351,3060.0,2021-03-26
Île-de-France,2.637,48.8499,6928.0,2021-03-26
